# File: Kalt_2017_elec_cap_gw_ctry.csv
# Title: Kalt et al. 2021 electricity generation capacity in 2017
# Units: GW
# Description: Bottom-up estimate of electricity generation capacity by country in 2017. Source data has historical years 1980-2017
# Source: SI spreadsheet in Kalt et al. 2021 Data in Brief https://doi.org/10.1016/j.dib.2021.107351
# Column types: cccn
# ----------
Technology,Country,Kalt_reg,2017
Hydro - Reservoir,Papua New Guinea,Rest of Asia,0.16
Hydro - Reservoir,Paraguay,Latin America and the Caribbean,6.52
Hydro - Reservoir,Peru,Latin America and the Caribbean,2.83
Hydro - Reservoir,Philippines,Rest of Asia,1.81
Hydro - Reservoir,Poland,Industrial (Old World),0.41
Hydro - Reservoir,Portugal,Industrial (Old World),2.94
Hydro - Reservoir,Puerto Rico,Latin America and the Caribbean,
Hydro - Reservoir,Qatar,Middle East and Northern Africa ,
Hydro - Reservoir,Réunion,Sub-Saharan Africa,
Hydro - Reservoir,Romania,Industrial (Old World),4.93
Hydro - Reservoir,Russia,Former Soviet Union,36.09
Hydro - Reservoir,Rwanda,Sub-Saharan Africa,0.02
Hydro - Reservoir,Saudi Arabia,Middle East and Northern Africa ,
Hydro - Reservoir,Senegal,Sub-Saharan Africa,
Hydro - Reservoir,Serbia (incl. Kosovo),Industrial (Old World),1.74
Hydro - Reservoir,Sierra Leone,Sub-Saharan Africa,0.04
Hydro - Reservoir,Singapore,Rest of Asia,
Hydro - Reservoir,Slovakia,Industrial (Old World),1.13
Hydro - Reservoir,Slovenia,Industrial (Old World),0.6
Hydro - Reservoir,Solomon Islands,Rest of Asia,
Hydro - Reservoir,Somalia,Sub-Saharan Africa,
Hydro - Reservoir,South Africa,Sub-Saharan Africa,0.61
Hydro - Reservoir,South Korea,Industrial (Old World),1.5
Hydro - Reservoir,South Sudan,Sub-Saharan Africa,
Hydro - Reservoir,Spain,Industrial (Old World),11.62
Hydro - Reservoir,Sri Lanka,Rest of Asia,0.9
Hydro - Reservoir,Sudan,Sub-Saharan Africa,1.54
Hydro - Reservoir,Suriname,Latin America and the Caribbean,0.13
Hydro - Reservoir,Swaziland,Sub-Saharan Africa,0.06
Hydro - Reservoir,Sweden,Industrial (Old World),11.2
Hydro - Reservoir,Switzerland,Industrial (Old World),2.72
Hydro - Reservoir,Syria,Middle East and Northern Africa ,1.21
Hydro - Reservoir,Taiwan,Rest of Asia,1.3
Hydro - Reservoir,Tajikistan,Former Soviet Union,3.54
Hydro - Reservoir,Tanzania,Sub-Saharan Africa,0.29
Hydro - Reservoir,Thailand,Rest of Asia,2.26
Hydro - Reservoir,The Gambia,Sub-Saharan Africa,
Hydro - Reservoir,Timor-Leste,Rest of Asia,
Hydro - Reservoir,Togo,Sub-Saharan Africa,
Hydro - Reservoir,Trinidad and Tobago,Latin America and the Caribbean,
Hydro - Reservoir,Tunisia,Middle East and Northern Africa ,
Hydro - Reservoir,Turkey,Industrial (Old World),18.28
Hydro - Reservoir,Turkmenistan,Former Soviet Union,
Hydro - Reservoir,Uganda,Sub-Saharan Africa,0.71
Hydro - Reservoir,Ukraine,Former Soviet Union,2.02
Hydro - Reservoir,United Arab Emirates,Middle East and Northern Africa ,
Hydro - Reservoir,United Kingdom,Industrial (Old World),1.29
Hydro - Reservoir,United States of America,Industrial (New World),49.05
Hydro - Reservoir,Uruguay,Latin America and the Caribbean,1.05
Hydro - Reservoir,USSR (former),Former Soviet Union,
Hydro - Reservoir,Uzbekistan,Former Soviet Union,1.26
Hydro - Reservoir,Venezuela,Latin America and the Caribbean,6.94
Hydro - Reservoir,Vietnam,Rest of Asia,11
Hydro - Reservoir,Yemen,Middle East and Northern Africa ,
Hydro - Reservoir,Zambia,Sub-Saharan Africa,1.97
Hydro - Reservoir,Zimbabwe,Sub-Saharan Africa,0.04
Hydro - Pumped storage,Afghanistan,Rest of Asia,0
Hydro - Pumped storage,Albania,Industrial (Old World),0
Hydro - Pumped storage,Algeria,Middle East and Northern Africa ,0
Hydro - Pumped storage,Angola,Sub-Saharan Africa,0
Hydro - Pumped storage,Argentina,Latin America and the Caribbean,0.97
Hydro - Pumped storage,Armenia,Former Soviet Union,0
Hydro - Pumped storage,Australia,Industrial (New World),2.61
Hydro - Pumped storage,Austria,Industrial (Old World),5.64
Hydro - Pumped storage,Azerbaijan,Former Soviet Union,0
Hydro - Pumped storage,Bahamas,Latin America and the Caribbean,0
Hydro - Pumped storage,Bahrain,Middle East and Northern Africa ,0
Hydro - Pumped storage,Bangladesh,Rest of Asia,0
Hydro - Pumped storage,Belarus,Former Soviet Union,0
Hydro - Pumped storage,Belgium,Industrial (Old World),1.31
Hydro - Pumped storage,Belize,Latin America and the Caribbean,0
Hydro - Pumped storage,Benin,Sub-Saharan Africa,0
Hydro - Pumped storage,Bhutan,Rest of Asia,0
Hydro - Pumped storage,Bolivia,Latin America and the Caribbean,0
Hydro - Pumped storage,Bosnia and Herzegovina,Industrial (Old World),0.42
Hydro - Pumped storage,Botswana,Sub-Saharan Africa,0
Hydro - Pumped storage,Brazil,Latin America and the Caribbean,0
Hydro - Pumped storage,Brunei,Rest of Asia,0
Hydro - Pumped storage,Bulgaria,Industrial (Old World),1.01
Hydro - Pumped storage,Burkina Faso,Sub-Saharan Africa,0
Hydro - Pumped storage,Burundi,Sub-Saharan Africa,0
Hydro - Pumped storage,Cambodia,Rest of Asia,0
Hydro - Pumped storage,Cameroon,Sub-Saharan Africa,0
Hydro - Pumped storage,Canada,Industrial (New World),0.17
Hydro - Pumped storage,Cape Verde,Sub-Saharan Africa,0
Hydro - Pumped storage,Central African Republic,Sub-Saharan Africa,0
Hydro - Pumped storage,Chad,Sub-Saharan Africa,0
Hydro - Pumped storage,Chile,Latin America and the Caribbean,0
Hydro - Pumped storage,China,China,28.49
Hydro - Pumped storage,Colombia,Latin America and the Caribbean,0
Hydro - Pumped storage,Comoros,Sub-Saharan Africa,0
Hydro - Pumped storage,Congo,Sub-Saharan Africa,0
Hydro - Pumped storage,"Congo, DR",Sub-Saharan Africa,0
Hydro - Pumped storage,Costa Rica,Latin America and the Caribbean,0
Hydro - Pumped storage,Côte d'Ivoire,Sub-Saharan Africa,0
Hydro - Pumped storage,Croatia,Industrial (Old World),0.29
Hydro - Pumped storage,Cuba,Latin America and the Caribbean,0
Hydro - Pumped storage,Cyprus,Industrial (Old World),0
Hydro - Pumped storage,Czech Republic,Industrial (Old World),1.17
Hydro - Pumped storage,Denmark,Industrial (Old World),0
Hydro - Pumped storage,Djibouti,Middle East and Northern Africa ,0
Hydro - Pumped storage,Dominican Republic,Latin America and the Caribbean,0
Hydro - Pumped storage,Ecuador,Latin America and the Caribbean,0
Hydro - Pumped storage,Egypt,Middle East and Northern Africa ,0
Hydro - Pumped storage,El Salvador,Latin America and the Caribbean,0
Hydro - Pumped storage,Equatorial Guinea,Sub-Saharan Africa,0
Hydro - Pumped storage,Eritrea,Sub-Saharan Africa,0
Hydro - Pumped storage,Estonia,Former Soviet Union,0
Hydro - Pumped storage,Ethiopia,Sub-Saharan Africa,0
Hydro - Pumped storage,Fiji,Rest of Asia,0
Hydro - Pumped storage,Finland,Industrial (Old World),0
Hydro - Pumped storage,France,Industrial (Old World),7.15
Hydro - Pumped storage,Gabon,Sub-Saharan Africa,0
Hydro - Pumped storage,Georgia,Former Soviet Union,0
Hydro - Pumped storage,Germany,Industrial (Old World),6.67
Hydro - Pumped storage,Ghana,Sub-Saharan Africa,0
Hydro - Pumped storage,Greece,Industrial (Old World),0.7
Hydro - Pumped storage,Guadeloupe,Latin America and the Caribbean,0
Hydro - Pumped storage,Guatemala,Latin America and the Caribbean,0
Hydro - Pumped storage,Guinea,Sub-Saharan Africa,0
Hydro - Pumped storage,Guinea Bissau,Sub-Saharan Africa,0
Hydro - Pumped storage,Guyana,Latin America and the Caribbean,0
Hydro - Pumped storage,Haiti,Latin America and the Caribbean,0
Hydro - Pumped storage,Honduras,Latin America and the Caribbean,0
Hydro - Pumped storage,Hong Kong SAR,Rest of Asia,0
Hydro - Pumped storage,Hungary,Industrial (Old World),0
Hydro - Pumped storage,Iceland,Industrial (Old World),0
Hydro - Pumped storage,India,India,4.79
Hydro - Pumped storage,Indonesia,Rest of Asia,0
Hydro - Pumped storage,Iran,Middle East and Northern Africa ,1.04
Hydro - Pumped storage,Iraq,Middle East and Northern Africa ,0.24
Hydro - Pumped storage,Ireland,Industrial (Old World),0.29
Hydro - Pumped storage,Israel,Middle East and Northern Africa ,0
Hydro - Pumped storage,Italy,Industrial (Old World),7.32
Hydro - Pumped storage,Jamaica,Latin America and the Caribbean,0
Hydro - Pumped storage,Japan,Industrial (Old World),27.52
Hydro - Pumped storage,Jordan,Middle East and Northern Africa ,0
Hydro - Pumped storage,Kazakhstan,Former Soviet Union,0
Hydro - Pumped storage,Kenya,Sub-Saharan Africa,0
Hydro - Pumped storage,Kuwait,Middle East and Northern Africa ,0
Hydro - Pumped storage,Kyrgyzstan,Former Soviet Union,0
Hydro - Pumped storage,Laos,Rest of Asia,0
Hydro - Pumped storage,Latvia,Former Soviet Union,0
Hydro - Pumped storage,Lebanon,Middle East and Northern Africa ,0
Hydro - Pumped storage,Lesotho,Sub-Saharan Africa,0
Hydro - Pumped storage,Liberia,Sub-Saharan Africa,0
Hydro - Pumped storage,Libya,Middle East and Northern Africa ,0
Hydro - Pumped storage,Lithuania,Former Soviet Union,0.76
Hydro - Pumped storage,Luxembourg,Industrial (Old World),1.3
Hydro - Pumped storage,"Macedonia, FYR",Industrial (Old World),0
Hydro - Pumped storage,Madagascar,Sub-Saharan Africa,0
Hydro - Pumped storage,Malawi,Sub-Saharan Africa,0
Hydro - Pumped storage,Malaysia,Rest of Asia,0
Hydro - Pumped storage,Maldives,Rest of Asia,0
Hydro - Pumped storage,Mali,Sub-Saharan Africa,0
Hydro - Pumped storage,Malta,Industrial (Old World),0
Hydro - Pumped storage,Martinique,Latin America and the Caribbean,0
Hydro - Pumped storage,Mauritania,Sub-Saharan Africa,0
Hydro - Pumped storage,Mauritius,Sub-Saharan Africa,0
Hydro - Pumped storage,Mexico,Latin America and the Caribbean,0
Hydro - Pumped storage,Moldova,Former Soviet Union,0
Hydro - Pumped storage,Mongolia,Rest of Asia,0
Hydro - Pumped storage,Montenegro,Industrial (Old World),0
Hydro - Pumped storage,Morocco,Middle East and Northern Africa ,0.46
Hydro - Pumped storage,Mozambique,Sub-Saharan Africa,0
Hydro - Pumped storage,Myanmar,Rest of Asia,0
Hydro - Pumped storage,Namibia,Sub-Saharan Africa,0
Hydro - Pumped storage,Nepal,Rest of Asia,0
Hydro - Pumped storage,Netherlands,Industrial (Old World),0
Hydro - Pumped storage,New Zealand,Industrial (New World),0
Hydro - Pumped storage,Nicaragua,Latin America and the Caribbean,0
Hydro - Pumped storage,Niger,Sub-Saharan Africa,0
Hydro - Pumped storage,Nigeria,Sub-Saharan Africa,0
Hydro - Pumped storage,North Korea,Rest of Asia,0
Hydro - Pumped storage,Norway,Industrial (Old World),1.53
Hydro - Pumped storage,Oman,Middle East and Northern Africa ,0
Hydro - Pumped storage,Pakistan,Rest of Asia,0
Hydro - Pumped storage,Panama,Latin America and the Caribbean,0
Hydro - Pumped storage,Papua New Guinea,Rest of Asia,0
Hydro - Pumped storage,Paraguay,Latin America and the Caribbean,0
Hydro - Pumped storage,Peru,Latin America and the Caribbean,0
Hydro - Pumped storage,Philippines,Rest of Asia,0.69
Hydro - Pumped storage,Poland,Industrial (Old World),1.8
Hydro - Pumped storage,Portugal,Industrial (Old World),2.76
Hydro - Pumped storage,Puerto Rico,Latin America and the Caribbean,0
Hydro - Pumped storage,Qatar,Middle East and Northern Africa ,0
Hydro - Pumped storage,Réunion,Sub-Saharan Africa,0
Hydro - Pumped storage,Romania,Industrial (Old World),0.36
Hydro - Pumped storage,Russia,Former Soviet Union,1.39
Hydro - Pumped storage,Rwanda,Sub-Saharan Africa,0
Hydro - Pumped storage,Saudi Arabia,Middle East and Northern Africa ,0
Hydro - Pumped storage,Senegal,Sub-Saharan Africa,0
Hydro - Pumped storage,Serbia (incl. Kosovo),Industrial (Old World),0.61
Hydro - Pumped storage,Sierra Leone,Sub-Saharan Africa,0
Hydro - Pumped storage,Singapore,Rest of Asia,0
Hydro - Pumped storage,Slovakia,Industrial (Old World),0.92
Hydro - Pumped storage,Slovenia,Industrial (Old World),0.18
Hydro - Pumped storage,Solomon Islands,Rest of Asia,0
Hydro - Pumped storage,Somalia,Sub-Saharan Africa,0
Hydro - Pumped storage,South Africa,Sub-Saharan Africa,2.91
Hydro - Pumped storage,South Korea,Industrial (Old World),4.7
Hydro - Pumped storage,South Sudan,Sub-Saharan Africa,0
Hydro - Pumped storage,Spain,Industrial (Old World),6.03
Hydro - Pumped storage,Sri Lanka,Rest of Asia,0
Hydro - Pumped storage,Sudan,Sub-Saharan Africa,0
Hydro - Pumped storage,Suriname,Latin America and the Caribbean,0
Hydro - Pumped storage,Swaziland,Sub-Saharan Africa,0
Hydro - Pumped storage,Sweden,Industrial (Old World),0.1
Hydro - Pumped storage,Switzerland,Industrial (Old World),11.24
Hydro - Pumped storage,Syria,Middle East and Northern Africa ,0
Hydro - Pumped storage,Taiwan,Rest of Asia,2.6
Hydro - Pumped storage,Tajikistan,Former Soviet Union,0
Hydro - Pumped storage,Tanzania,Sub-Saharan Africa,0
Hydro - Pumped storage,Thailand,Rest of Asia,1.03
Hydro - Pumped storage,The Gambia,Sub-Saharan Africa,0
Hydro - Pumped storage,Timor-Leste,Rest of Asia,0
Hydro - Pumped storage,Togo,Sub-Saharan Africa,0
Hydro - Pumped storage,Trinidad and Tobago,Latin America and the Caribbean,0
Hydro - Pumped storage,Tunisia,Middle East and Northern Africa ,0
Hydro - Pumped storage,Turkey,Industrial (Old World),0
Hydro - Pumped storage,Turkmenistan,Former Soviet Union,0
Hydro - Pumped storage,Uganda,Sub-Saharan Africa,0
Hydro - Pumped storage,Ukraine,Former Soviet Union,1.51
Hydro - Pumped storage,United Arab Emirates,Middle East and Northern Africa ,0
Hydro - Pumped storage,United Kingdom,Industrial (Old World),2.74
Hydro - Pumped storage,United States of America,Industrial (New World),22.81
Hydro - Pumped storage,Uruguay,Latin America and the Caribbean,0
Hydro - Pumped storage,USSR (former),Former Soviet Union,
Hydro - Pumped storage,Uzbekistan,Former Soviet Union,0
Hydro - Pumped storage,Venezuela,Latin America and the Caribbean,0
Hydro - Pumped storage,Vietnam,Rest of Asia,0
Hydro - Pumped storage,Yemen,Middle East and Northern Africa ,0
Hydro - Pumped storage,Zambia,Sub-Saharan Africa,0
Hydro - Pumped storage,Zimbabwe,Sub-Saharan Africa,
"Tidal, wave",Afghanistan,Rest of Asia,0
"Tidal, wave",Albania,Industrial (Old World),0
"Tidal, wave",Algeria,Middle East and Northern Africa ,0
"Tidal, wave",Angola,Sub-Saharan Africa,0
"Tidal, wave",Argentina,Latin America and the Caribbean,0
"Tidal, wave",Armenia,Former Soviet Union,0
"Tidal, wave",Australia,Industrial (New World),0
"Tidal, wave",Austria,Industrial (Old World),0
"Tidal, wave",Azerbaijan,Former Soviet Union,0
"Tidal, wave",Bahamas,Latin America and the Caribbean,0
"Tidal, wave",Bahrain,Middle East and Northern Africa ,0
"Tidal, wave",Bangladesh,Rest of Asia,0
"Tidal, wave",Belarus,Former Soviet Union,0
"Tidal, wave",Belgium,Industrial (Old World),0
"Tidal, wave",Belize,Latin America and the Caribbean,0
"Tidal, wave",Benin,Sub-Saharan Africa,0
"Tidal, wave",Bhutan,Rest of Asia,0
"Tidal, wave",Bolivia,Latin America and the Caribbean,0
"Tidal, wave",Bosnia and Herzegovina,Industrial (Old World),0
"Tidal, wave",Botswana,Sub-Saharan Africa,0
"Tidal, wave",Brazil,Latin America and the Caribbean,0
"Tidal, wave",Brunei,Rest of Asia,0
"Tidal, wave",Bulgaria,Industrial (Old World),0
"Tidal, wave",Burkina Faso,Sub-Saharan Africa,0
"Tidal, wave",Burundi,Sub-Saharan Africa,0
"Tidal, wave",Cambodia,Rest of Asia,0
"Tidal, wave",Cameroon,Sub-Saharan Africa,0
"Tidal, wave",Canada,Industrial (New World),0.02
"Tidal, wave",Cape Verde,Sub-Saharan Africa,0
"Tidal, wave",Central African Republic,Sub-Saharan Africa,0
"Tidal, wave",Chad,Sub-Saharan Africa,0
"Tidal, wave",Chile,Latin America and the Caribbean,0
"Tidal, wave",China,China,0
"Tidal, wave",Colombia,Latin America and the Caribbean,0
"Tidal, wave",Comoros,Sub-Saharan Africa,0
"Tidal, wave",Congo,Sub-Saharan Africa,0
"Tidal, wave","Congo, DR",Sub-Saharan Africa,0
"Tidal, wave",Costa Rica,Latin America and the Caribbean,0
"Tidal, wave",Côte d'Ivoire,Sub-Saharan Africa,0
"Tidal, wave",Croatia,Industrial (Old World),0
"Tidal, wave",Cuba,Latin America and the Caribbean,0
"Tidal, wave",Cyprus,Industrial (Old World),0
"Tidal, wave",Czech Republic,Industrial (Old World),0
"Tidal, wave",Denmark,Industrial (Old World),0
"Tidal, wave",Djibouti,Middle East and Northern Africa ,0
"Tidal, wave",Dominican Republic,Latin America and the Caribbean,0
"Tidal, wave",Ecuador,Latin America and the Caribbean,0
"Tidal, wave",Egypt,Middle East and Northern Africa ,0
"Tidal, wave",El Salvador,Latin America and the Caribbean,0
"Tidal, wave",Equatorial Guinea,Sub-Saharan Africa,0
"Tidal, wave",Eritrea,Sub-Saharan Africa,0
"Tidal, wave",Estonia,Former Soviet Union,0
"Tidal, wave",Ethiopia,Sub-Saharan Africa,0
"Tidal, wave",Fiji,Rest of Asia,0
"Tidal, wave",Finland,Industrial (Old World),0
"Tidal, wave",France,Industrial (Old World),0.22
"Tidal, wave",Gabon,Sub-Saharan Africa,0
"Tidal, wave",Georgia,Former Soviet Union,0
"Tidal, wave",Germany,Industrial (Old World),0
"Tidal, wave",Ghana,Sub-Saharan Africa,0
"Tidal, wave",Greece,Industrial (Old World),0
"Tidal, wave",Guadeloupe,Latin America and the Caribbean,0
"Tidal, wave",Guatemala,Latin America and the Caribbean,0
"Tidal, wave",Guinea,Sub-Saharan Africa,0
"Tidal, wave",Guinea Bissau,Sub-Saharan Africa,0
"Tidal, wave",Guyana,Latin America and the Caribbean,0
"Tidal, wave",Haiti,Latin America and the Caribbean,0
"Tidal, wave",Honduras,Latin America and the Caribbean,0
"Tidal, wave",Hong Kong SAR,Rest of Asia,0
"Tidal, wave",Hungary,Industrial (Old World),0
"Tidal, wave",Iceland,Industrial (Old World),0
"Tidal, wave",India,India,0
"Tidal, wave",Indonesia,Rest of Asia,0
"Tidal, wave",Iran,Middle East and Northern Africa ,0
"Tidal, wave",Iraq,Middle East and Northern Africa ,0
"Tidal, wave",Ireland,Industrial (Old World),0
"Tidal, wave",Israel,Middle East and Northern Africa ,0
"Tidal, wave",Italy,Industrial (Old World),0
"Tidal, wave",Jamaica,Latin America and the Caribbean,0
"Tidal, wave",Japan,Industrial (Old World),0
"Tidal, wave",Jordan,Middle East and Northern Africa ,0
"Tidal, wave",Kazakhstan,Former Soviet Union,0
"Tidal, wave",Kenya,Sub-Saharan Africa,0
"Tidal, wave",Kuwait,Middle East and Northern Africa ,0
"Tidal, wave",Kyrgyzstan,Former Soviet Union,0
"Tidal, wave",Laos,Rest of Asia,0
"Tidal, wave",Latvia,Former Soviet Union,0
"Tidal, wave",Lebanon,Middle East and Northern Africa ,0
"Tidal, wave",Lesotho,Sub-Saharan Africa,0
"Tidal, wave",Liberia,Sub-Saharan Africa,0
"Tidal, wave",Libya,Middle East and Northern Africa ,0
"Tidal, wave",Lithuania,Former Soviet Union,0
"Tidal, wave",Luxembourg,Industrial (Old World),0
"Tidal, wave","Macedonia, FYR",Industrial (Old World),0
"Tidal, wave",Madagascar,Sub-Saharan Africa,0
"Tidal, wave",Malawi,Sub-Saharan Africa,0
"Tidal, wave",Malaysia,Rest of Asia,0
"Tidal, wave",Maldives,Rest of Asia,0
"Tidal, wave",Mali,Sub-Saharan Africa,0
"Tidal, wave",Malta,Industrial (Old World),0
"Tidal, wave",Martinique,Latin America and the Caribbean,0
"Tidal, wave",Mauritania,Sub-Saharan Africa,0
"Tidal, wave",Mauritius,Sub-Saharan Africa,0
"Tidal, wave",Mexico,Latin America and the Caribbean,0
"Tidal, wave",Moldova,Former Soviet Union,0
"Tidal, wave",Mongolia,Rest of Asia,0
"Tidal, wave",Montenegro,Industrial (Old World),0
"Tidal, wave",Morocco,Middle East and Northern Africa ,0
"Tidal, wave",Mozambique,Sub-Saharan Africa,0
"Tidal, wave",Myanmar,Rest of Asia,0
"Tidal, wave",Namibia,Sub-Saharan Africa,0
"Tidal, wave",Nepal,Rest of Asia,0
"Tidal, wave",Netherlands,Industrial (Old World),0
"Tidal, wave",New Zealand,Industrial (New World),0
"Tidal, wave",Nicaragua,Latin America and the Caribbean,0
"Tidal, wave",Niger,Sub-Saharan Africa,0
"Tidal, wave",Nigeria,Sub-Saharan Africa,0
"Tidal, wave",North Korea,Rest of Asia,0
"Tidal, wave",Norway,Industrial (Old World),0
"Tidal, wave",Oman,Middle East and Northern Africa ,0
"Tidal, wave",Pakistan,Rest of Asia,0
"Tidal, wave",Panama,Latin America and the Caribbean,0
"Tidal, wave",Papua New Guinea,Rest of Asia,0
"Tidal, wave",Paraguay,Latin America and the Caribbean,0
"Tidal, wave",Peru,Latin America and the Caribbean,0
"Tidal, wave",Philippines,Rest of Asia,0
"Tidal, wave",Poland,Industrial (Old World),0
"Tidal, wave",Portugal,Industrial (Old World),0
"Tidal, wave",Puerto Rico,Latin America and the Caribbean,0
"Tidal, wave",Qatar,Middle East and Northern Africa ,0
"Tidal, wave",Réunion,Sub-Saharan Africa,0
"Tidal, wave",Romania,Industrial (Old World),0
"Tidal, wave",Russia,Former Soviet Union,0
"Tidal, wave",Rwanda,Sub-Saharan Africa,0
"Tidal, wave",Saudi Arabia,Middle East and Northern Africa ,0
"Tidal, wave",Senegal,Sub-Saharan Africa,0
"Tidal, wave",Serbia (incl. Kosovo),Industrial (Old World),0
"Tidal, wave",Sierra Leone,Sub-Saharan Africa,0
"Tidal, wave",Singapore,Rest of Asia,0
"Tidal, wave",Slovakia,Industrial (Old World),0
"Tidal, wave",Slovenia,Industrial (Old World),0
"Tidal, wave",Solomon Islands,Rest of Asia,0
"Tidal, wave",Somalia,Sub-Saharan Africa,0
"Tidal, wave",South Africa,Sub-Saharan Africa,0
"Tidal, wave",South Korea,Industrial (Old World),0.26
"Tidal, wave",South Sudan,Sub-Saharan Africa,0
"Tidal, wave",Spain,Industrial (Old World),0
"Tidal, wave",Sri Lanka,Rest of Asia,0
"Tidal, wave",Sudan,Sub-Saharan Africa,0
"Tidal, wave",Suriname,Latin America and the Caribbean,0
"Tidal, wave",Swaziland,Sub-Saharan Africa,0
"Tidal, wave",Sweden,Industrial (Old World),0
"Tidal, wave",Switzerland,Industrial (Old World),0
"Tidal, wave",Syria,Middle East and Northern Africa ,0
"Tidal, wave",Taiwan,Rest of Asia,0
"Tidal, wave",Tajikistan,Former Soviet Union,0
"Tidal, wave",Tanzania,Sub-Saharan Africa,0
"Tidal, wave",Thailand,Rest of Asia,0
"Tidal, wave",The Gambia,Sub-Saharan Africa,0
"Tidal, wave",Timor-Leste,Rest of Asia,0
"Tidal, wave",Togo,Sub-Saharan Africa,0
"Tidal, wave",Trinidad and Tobago,Latin America and the Caribbean,0
"Tidal, wave",Tunisia,Middle East and Northern Africa ,0
"Tidal, wave",Turkey,Industrial (Old World),0
"Tidal, wave",Turkmenistan,Former Soviet Union,0
"Tidal, wave",Uganda,Sub-Saharan Africa,0
"Tidal, wave",Ukraine,Former Soviet Union,0
"Tidal, wave",United Arab Emirates,Middle East and Northern Africa ,0
"Tidal, wave",United Kingdom,Industrial (Old World),0.02
"Tidal, wave",United States of America,Industrial (New World),0
"Tidal, wave",Uruguay,Latin America and the Caribbean,0
"Tidal, wave",USSR (former),Former Soviet Union,
"Tidal, wave",Uzbekistan,Former Soviet Union,0
"Tidal, wave",Venezuela,Latin America and the Caribbean,0
"Tidal, wave",Vietnam,Rest of Asia,0
"Tidal, wave",Yemen,Middle East and Northern Africa ,0
"Tidal, wave",Zambia,Sub-Saharan Africa,0
"Tidal, wave",Zimbabwe,Sub-Saharan Africa,0
Geothermal,Afghanistan,Rest of Asia,0
Geothermal,Albania,Industrial (Old World),0
Geothermal,Algeria,Middle East and Northern Africa ,0
Geothermal,Angola,Sub-Saharan Africa,0
Geothermal,Argentina,Latin America and the Caribbean,0
Geothermal,Armenia,Former Soviet Union,0
Geothermal,Australia,Industrial (New World),0
Geothermal,Austria,Industrial (Old World),0
Geothermal,Azerbaijan,Former Soviet Union,0
Geothermal,Bahamas,Latin America and the Caribbean,0
Geothermal,Bahrain,Middle East and Northern Africa ,0
Geothermal,Bangladesh,Rest of Asia,0
Geothermal,Belarus,Former Soviet Union,0
Geothermal,Belgium,Industrial (Old World),0
Geothermal,Belize,Latin America and the Caribbean,0
Geothermal,Benin,Sub-Saharan Africa,0
Geothermal,Bhutan,Rest of Asia,0
Geothermal,Bolivia,Latin America and the Caribbean,0
Geothermal,Bosnia and Herzegovina,Industrial (Old World),0
Geothermal,Botswana,Sub-Saharan Africa,0
Geothermal,Brazil,Latin America and the Caribbean,0
Geothermal,Brunei,Rest of Asia,0
Geothermal,Bulgaria,Industrial (Old World),0
Geothermal,Burkina Faso,Sub-Saharan Africa,0
Geothermal,Burundi,Sub-Saharan Africa,0
Geothermal,Cambodia,Rest of Asia,0
Geothermal,Cameroon,Sub-Saharan Africa,0
Geothermal,Canada,Industrial (New World),0
Geothermal,Cape Verde,Sub-Saharan Africa,0
Geothermal,Central African Republic,Sub-Saharan Africa,0
Geothermal,Chad,Sub-Saharan Africa,0
Geothermal,Chile,Latin America and the Caribbean,0.02
Geothermal,China,China,0.03
Geothermal,Colombia,Latin America and the Caribbean,0
Geothermal,Comoros,Sub-Saharan Africa,0
Geothermal,Congo,Sub-Saharan Africa,0
Geothermal,"Congo, DR",Sub-Saharan Africa,0
Geothermal,Costa Rica,Latin America and the Caribbean,0.21
Geothermal,Côte d'Ivoire,Sub-Saharan Africa,0
Geothermal,Croatia,Industrial (Old World),0
Geothermal,Cuba,Latin America and the Caribbean,0
Geothermal,Cyprus,Industrial (Old World),0
Geothermal,Czech Republic,Industrial (Old World),0
Geothermal,Denmark,Industrial (Old World),0
Geothermal,Djibouti,Middle East and Northern Africa ,0
Geothermal,Dominican Republic,Latin America and the Caribbean,0
Geothermal,Ecuador,Latin America and the Caribbean,0
Geothermal,Egypt,Middle East and Northern Africa ,0
Geothermal,El Salvador,Latin America and the Caribbean,0.2
Geothermal,Equatorial Guinea,Sub-Saharan Africa,0
Geothermal,Eritrea,Sub-Saharan Africa,0
Geothermal,Estonia,Former Soviet Union,0
Geothermal,Ethiopia,Sub-Saharan Africa,0.01
Geothermal,Fiji,Rest of Asia,0
Geothermal,Finland,Industrial (Old World),0
Geothermal,France,Industrial (Old World),0.02
Geothermal,Gabon,Sub-Saharan Africa,0
Geothermal,Georgia,Former Soviet Union,0
Geothermal,Germany,Industrial (Old World),0.03
Geothermal,Ghana,Sub-Saharan Africa,0
Geothermal,Greece,Industrial (Old World),0
Geothermal,Guadeloupe,Latin America and the Caribbean,0.02
Geothermal,Guatemala,Latin America and the Caribbean,0.05
Geothermal,Guinea,Sub-Saharan Africa,0
Geothermal,Guinea Bissau,Sub-Saharan Africa,0
Geothermal,Guyana,Latin America and the Caribbean,0
Geothermal,Haiti,Latin America and the Caribbean,0
Geothermal,Honduras,Latin America and the Caribbean,0.04
Geothermal,Hong Kong SAR,Rest of Asia,0
Geothermal,Hungary,Industrial (Old World),0
Geothermal,Iceland,Industrial (Old World),0.71
Geothermal,India,India,0
Geothermal,Indonesia,Rest of Asia,1.81
